Lydraščio Nr.;Administracijos padalinio pavadinimas;Prekių BVPŽ kodas, paslaugų kategorija, darbai;Darbų objektas;Pirkimo grupė;Laimėtojo nustatymo data;Laimėtojas;Laimėtojo pasiūlymo kaina, Eur;Sutarties vertė, Eur;Pirkimo pavadinimas;Pirkimo objekto apibūdinimas;Spe. Reikalavimai;Pirkimo procedūros pradžia
8850;Bendrasis skyrius;392;prekės;2014.04.24;Edmundas Unguraitis;2242,82;2242,82;Dirbiniai iš stiklo gydytojų apdovanojimui;Dirbiniai iš stiklo gydytojų apdovanojimui;Ne per CPO;2014.04.23
8868;Kūno kultūros ir sporto skyrius;KAT17.551;paslaugos;2014.05.26;UAB „Doriteksas“;7472,2;7472,2;Apgyvendinimo ir  maitinimo paslaugų pirkimas;Apgyvendinimo ir maitinimo paslaugos;Ne per CPO, 55300000-3;2014.04.24
8889;Tarptautinių ryšių ir protokolo skyrius;KAT13.793;paslaugos;2014.04.25;UAB „Diena Media News;1033,65;1033,6;Reklamos paslaugos. Specialiame žurnale ''Sveikata'';Reklamos paslaugos. Specialiame žurnale ''Sveikata'';ne per CPO;2014.04.24
8893;Aleksoto seniūnija;392;prekės;2014.06.27;UAB ''Office system'';75,17;75,17;Nuotraukų rėmai;Nuotraukų rėmai.;Per CPO;2014.04.24
8894;Aleksoto seniūnija;158;prekės;2014.06.06;UAB Sanitex;231,2;231,2;Įvairūs maisto produktai;Įvairūs maisto produktai.;Ne per CPO;2014.04.24
8928;Miesto tvarkymo skyrius;224;prekės;Programos LEADER ir žemdirbių mokymo metodikos centras;141,23;141,23;Traktorių, savaeigių ir žemės ūkio mašinų ir jų priekabų registracijos liudijimai ir techninės apžiūros talonai;Traktorių, savaeigių ir žemės ūkio mašinų ir jų priekabų registracijos liudijimai ir techninės apžiūros talonai;Ne per CPO;2014.04.29
8951;Bendrasis skyrius;337;prekės;UAB Vilties vaistinė;427,94;427,94;Prekės naujagimiams;Prekės naujagimiams;Ne per CPO;2014.04.30
8988;Bendrasis skyrius;185;prekės;UAB Lietuvos monetų kalykla;4954,95;4954,95;J. Vileišio medaliai;J. Vileišio medaliai;Ne per CPO;2014.05.06
8989;Bendrasis skyrius;390;prekės;MB ,,Įdoma“;2970;2970;Odiniai biuro baldai;Odiniai biuro baldai;Ne per CPO;2014.05.06
8990;Bendrasis skyrius;349;prekės;2014.05.14;MB ,,Įdoma“;1992,6;1992,6;Metaliniai atitvarai;Metaliniai atitvarai;Ne per CPO;2014.05.06
8991;Bendrasis skyrius;352;prekės;2014.05.30;UAB „Ambinga“;432,44;432,44;Informacinis stendas Laisvės al. 96;Informacinis stendas;Ne per CPO;2014.05.06
8995;Privatizavimo skyrius;KAT27.790;paslaugos;2014.06.04;Auditas ir konsultacijos, UAB;2838,57;2838,57;UAB ''Kauno profilaktinės dezinfekcijos stotis'' akcijų vertinimo paslaugos;UAB ''Kauno profilaktinės dezinfekcijos stotis'' akcijų vertinimo paslaugos;ne per CPO;2014.05.06
9008;Kultūros paveldo skyrius;Darbai;K. Donelaičio g. 64;Darbų pirkimas;2014.07.24;Kauno paminklų rest. proj. Institutas/ UAB ''Kauno projektavimo restauravimo ir statybos institutas'';89999,56;89999,56;Skulptūros „Karys“ (Riteris) atkūrimo projekto parengimas, pagaminimas ir įkėlimas į Vytauto Didžiojo karo muziejaus kariliono ir laikrodžio bokštą;Skulptūros „Karys“ (Riteris) atkūrimo projekto parengimas, pagaminimas ir įkėlimas į Vytauto Didžiojo karo muziejaus kariliono ir laikrodžio bokštą;Ne per CPO 71220000-6;2014.05.07
9010;Bendrasis skyrius;392;prekės;2014.05.14;Edmundas Unguraitis;1200;1200;Dirbiniai iš stiklo su Kauno m. didžiuoju herbu;Dirbiniai iš stiklo su Kauno m. didžiuoju herbu;Ne per CPO;2014.05.07
9030;Viešosios vadybos ir personalo skyrius;KAT24.805;paslaugos;UAB ,,Kvalitetas“;1389,02;1389,02;Kokybės vadybos sistemos (ISO 9001) auditorių mokymo paslaugos;KVS (ISO 9001) auditorių mokumo paslaugos;Ne per CPO;2014.05.08
9050;Gričiupio seniūnija;386;prekės;2014.05.26;UAB ,,Fotofabrikas'';109,77;115,85;Fotoaparato pirkimas;Fotoaparatai.;ne per CPO;2014.05.09
9051;Gričiupio seniūnija;158;prekės;2014.06.13;UAB ''Eurobiuras'' - keitėsi įmonės pavadinimas;133,38;144,81;Įvairūs maisto produktai;Įvairūs maisto produktai ir sausieji produktai.;ne per CPO;2014.05.09
9088;Miesto tvarkymo skyrius;444;prekės;2014.06.03;UAB „Bonarta“;14181,97;14181,97;Kauno miesto gatvių pavadinimų lentelių pirkimas, įrengimas ir remontas;Kauno miesto gatvių pavadinimų lentelių pirkimas, įrengimas ir remontas;Ne per CPO;2014.05.13
9128;Žaliakalnio seniūnija;184;prekės;UAB „Vellera plius“;230,04;231,7;Sportinių marškinėlių pirkimas;Sportiniai marškinėliai.;ne per CPO;2014.05.19
9129;Informacinių technologijų skyrius;KAT7.723;paslaugos;2014.05.23;Kauno technologijos universitetas;7,01;7,01;Internetinio subdomeno panaudojimo paslauga;Internetinio subdomeno panaudojimo paslauga;2014.05.19
9130;Bendrasis skyrius;KAT23.797;paslaugos;2014.06.23;UAB „Omnitel“;2647,59;2647,59;Transporto kontrolės ir valdymo sistemų paslaugos;Transporto kontrolės ir valdymo sistemų paslaugos;Ne per CPO;2014.05.19
9148;Vilijampolės seniūnija;158;prekės;2014.06.05;UAB Sanitex;162,54;162,54;Įvairūs maisto produktai;Įvairūs maisto produktai.;Ne per CPO;2014.05.20
9192;Transporto ir eismo organizavimo skyrius;349;prekės;2014.06.30;Bipa;4257,85;4257,85;Automobilių stovėjimo bortelių pirkimas;Automobilių stovėjimo bortelių pirkimas;Ne per CPO;2014.05.23
9208;Miesto tvarkymo skyrius;Darbai;Jakšto g., Trakų g. 39, Aukštaičių g. 78, Nemuno g. 12 asfaltbetonio įrengimas perėjose;Darbų pirkimas;2014.06.27;UAB „Kamesta“;18709,48;18709,48;Iškiliųjų asfaltbetonio pėsčiųjų perėjų įrengimo darbai A. Jakšto g., Trakų g. 39, Aukštaičių g. 78, Nemuno g. 12;Iškiliųjų asfaltbetonio pėsčiųjų perėjų įrengimo darbai A. Jakšto g., Trakų g. 39, Aukštaičių g. 78, Nemuno g. 12;Ne per CPO;2014.05.26
9209;Miesto tvarkymo skyrius;Darbai;Pilies g.;Darbų pirkimas;2014.06.06;UAB „Bermanta“;6736,06;6736,06;Nuo Pilies g. link Kauno pilies šaligatvio tako remonto darbai;Nuo Pilies g. link Kauno pilies šaligatvio tako remonto darbai;Ne per CPO;2014.05.26
9211;Eigulių seniūnija;158;prekės;2014.06.10;CHARLOT LT, UAB;434,08;Įvairūs maisto produktai;Įvairūs maisto produktai.;ne per CPO;2014.05.26
9230;Socialinių paslaugų skyrius;397;prekės;2014.06.12;UAB „Šalnos prekyba“;509,15;509,15;ORO KONDICIONAVIMO PRIETAISŲ (MOBILIŲ ORO KONDICIONIERIŲ) PIRKIMAS;Oro kondicionavimo prietaisai.;ne per CPO;2014.05.28
9248;Turto skyrius;KAT10.793;paslaugos;2014.06.16;UAB „Kelprojektas“;2733,43;2733,43;Žemės sklypų dalių, patenkančių į formuojamus žemės sklypus, skirtus susisiekimo komunikacijoms įrengti, Kaune, paėmimo visuomenės poreikiams sąnaudų ir naudos analizės parengimo paslaugos pirkimas (Žemaičių pl. su aikšt.;Žemės sklypų dalių, patenkančių į formuojamus žemės sklypus, skirtus susisiekimo komunikacijoms įrengti, Kaune, paėmimo visuomenės poreikiams sąnaudų ir naudos analizės parengimo paslaugos pirkimas (Žemaičių pl.  su aikšt;Vykdyti ne per CPO;2014.05.29
9249;Aleksoto seniūnija;315;prekės;2014.08.27;UAB „Meiga“;1178,75;1178,75;Šviečiantys ženklai ir iškabos;Šviečiantys ženklai ir iškabos.;Ne per CPO;2014.05.29
9250;Bendrasis skyrius;Darbai;V. Krėvės pr. 41A;Darbų pirkimas;2014.06.12;Individuali įmonė V. Verbavičiaus firma „Vermeda“;7240,45;7240,45;Dainavos seniūnijos V. Krėvės pr. 41A neįgaliųjų įeigos įrengimas;Dainavos seniūnijos V. Krėvės pr. 41A neįgaliųjų įeigos įrengimas;Ne per CPO;2014.05.29
9251;Vilijampolės seniūnija;392;prekės;2014.06.19;CHARLOT LT, UAB;59,14;59,14;Nuotraukų rėmai;Nuotraukų rėmai.;Per CPO;2014.05.29
9253;Gričiupio seniūnija;325;prekės;2014.06.19;UAB ,,Fotofabrikas'';43,44;43,44;Belaidis telefonas;Belaidžiai telefonai.;ne per CPO;2014.05.29
9288;Socialinių paslaugų skyrius;330;prekės;2014.10.06;UAB „Efarmos'' vaistinė;446,53;446,53;Medicinos įranga, farmacijos ir asmens higienos produktai;Medicinos įranga, farmacijos ir asmens higienos produktai.;ne per CPO;2014.06.02
9308;Asmenų aptarnavimo skyrius;222;prekės;2014.09.03;UAB „Diena Media News;625,58;625,58;Kauno dienos prenumerata;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai.;Ne per CPO;2014.06.03
9333;Petrašiūnų seniūnija;392;prekės;2014.06.19;UAB „Sangaida“;40,05;40,05;statulėlės, papuošalai, įvairūs suvenyrai;Statulėlės, papuošalai, (įvairūs suvenyrai).;ne per CPO;2014.06.04
9335;Petrašiūnų seniūnija;158;prekės;UAB „Osama“;141,59;231,7;Įvairūs maisto produktai;Įvairūs maisto produktai.;ne per CPO;2014.06.04
9389;Žaliakalnio seniūnija;151;prekės;UAB Sanitex;723,09;724,05;Mėsos ir mėsos produktų pirkimas;Gyvūninės kilmės produktai, mėsa ir mėsos produktai.;ne per CPO;2014.06.11
9390;Žaliakalnio seniūnija;156;prekės;2014.06.30;UAB Sanitex;432,46;434,43;Grūdų malūno produktų (kruopų) pirkimas;Grūdų malūno produktai, krakmolas ir krakmolo gaminiai.;ne per CPO;2014.06.11
9391;Žaliakalnio seniūnija;153;prekės;UAB Sanitex;578,18;579,24;Vaisių ir daržovių pirkimas;Vaisiai, daržovės ir panašūs produktai.;ne per CPO;2014.06.11
9392;Tarptautinių ryšių ir protokolo skyrius;KAT12.713;paslaugos;UAB Izet „Travel-Inn“;280,35;280,35;Ekspertų (dalyko žinovų) paslaugų pirkimas;Ekspertų (dalyko žinovų) paslaugos Tarnybinių kelionių aptarnavimo pasiūlymų vertinimui;ne per CPO;2014.06.11
9408;Apskaitos skyrius;KAT24.805;paslaugos;2014.07.11;UAB ''ERNST & YOUNG BALTIC'';2780,35;2780,35;Mokymo paslaugų pirkimas;Apskaitos skyriaus darbuotojų mokymo paslaugos VSAKIS;Ne per CPO;2014.06.11
9428;Petrašiūnų seniūnija;91;prekės;UAB „Ekoverskas“;578,23;578,23;Malkos;Malkos;ne per CPO;2014.06.12
9432;Petrašiūnų seniūnija;163;prekės;UAB „Mecro technikonas“;433,39;433,39;Benzininė vejapjovė;Vejapjovės, naudojamos žolynams, parkų pievoms arba sporto aikštelėms pjauti.;ne per CPO;2014.06.12
9434;Petrašiūnų seniūnija;Darbai;Chemijos g./Guobų g;Darbų pirkimas;UAB Eglarta;3647,38;3647,38;Įvairūs dangos Darbai.;Įvairūs dangos Darbai.;ne per CPO;2014.06.12
9448;Miesto tvarkymo skyrius;352;prekės;2014.08.05;UAB „Lagunta“;3241,57;3241,57;Informacinių stovų Kauno senosiose kapinėse pirkimas;Informacinių stovų Kauno senosiose kapinėse pirkimas;Ne per CPO;2014.06.13
9449;Panemunės seniūnija;386;prekės;2014.06.30;UAB Senukų prekybos centras;419,95;419,95;Skaitmeninės kameros;Skaitmeninės kameros.;Ne per CPO;2014.06.13
9451;Panemunės seniūnija;391;prekės;2014.06.30;UAB „Blonis“;2816,55;2816,55;Suolai;Suolai.;Ne per CPO;2014.06.13
9470;Asmenų aptarnavimo skyrius;222;prekės;2014.06.17;UAB „Lietuvos rytas;508,57;508,57;'Lietuvos ryto'' prenumerata;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai.;Ne per CPO;2014.06.16
9471;Teisės skyrius;KAT21.791;paslaugos;2014.06.20;Diana Degutienė, Violeta Naujokienė, Nijolė Reimerienė;31378,01;31378,01;Teisinio konsultavimo paslaugos;Teisinio konsultavimo paslaugos;pagal KMSA Supaprastintų viešųjų pirkimų taisyklių 115.1.3 papunktį, ne per CPO;2014.06.16
9488;Sveikatos apsaugos skyrius;KAT24.805;paslaugos;2014.07.03;Ave Vita klinika, UAB;7228,05;7228,05;Alkoholio, tabako, narkotinių ir psichotropinių medžiagų vartojimo prevencijos įgyvendinimo paslaugų pirkimas;Alkoholio, tabako, narkotinių ir psichotropinių medžiagų vartojimo prevencijos priemonių įgyvendinimas (sveikatos mokymai);Ne per CPO;2014.06.17
9509;Petrašiūnų seniūnija;Darbai;Saleziečių vienuolynas;Darbų pirkimas;2014.12.11;UAB ''Tekanas'';2316,96;2316,96;Krep6inio aikštelės aptvėrimas Saleziečių vienuolyne Marių g. 20B;Aptvarų, turėklų ir saugos įrenginių montavimo Darbai.;ne per CPO;2014.06.18
9510;Petrašiūnų seniūnija;Darbai;Elektrėnų g. 12;Darbų pirkimas;UAB „Neivex“;1737,63;1737,63;Trinkelių klojimo darbai šalia Elektrėnų g. 12;Trinkelių klojimas šalia Elektrėnų g. 12;ne per CPO;2014.06.18
9511;Petrašiūnų seniūnija;Darbai;Chemijos g./Guobų g;Darbų pirkimas;UAB Eglarta;868,25;868,25;Aptvarų statymas Amaliuose Chemijos g./Guobų g. kampas;Aptvarų statymas Amaliuose;ne per CPO;2014.06.18
9513;Transporto ir eismo organizavimo skyrius;Darbai;Saugos įrenginių montavimas Kauno miesto gatvėse;Darbų pirkimas;2014.06.27;UAB „Economus“;7096,27;Kauno miesto kelio ženklų, apsauginių atitvarų, įspėjamųjų stovų ir sferinių veidrodžių bei kitų inžinerinių eismo saugumo priemonių įrengimo, atstatymo ir eksploatavimo darbai;Kelio ženklų montavimas;34992200-9 Ne per CPO;2014.06.18
9528;Bendrasis skyrius;386;prekės;2014.07.15;UAB „Gariva“;11382;11382;Fotografijos prekės;Fotografijos prekės;Ne per CPO;2014.06.20
9548;Miesto tvarkymo skyrius;Darbai;M. Riomerio g. 41;Darbų pirkimas;2014.07.10;UAB „Bermanta“;8514,03;8514,03;Lietaus nuotekų tinklų ties M. Riomerio g. 41 namu projektavimas ir jų įrengimo darbai;Lietaus nuotekų tinklų ties M. Riomerio g. 41 namu projektavimo ir jų įrengimo darbai;Ne per CPO. BVPŽ kodas 71320000-7;2014.06.23
9568;Aleksoto seniūnija;KAT27.799;paslaugos;2014.07.14;Aleksoto seniūnijos Naugardiškių bendruomenė;579,24;579,24;Kultūrinio renginio - Oninių šventė organizavimas;Kultūrinio renginio - Oninių šventės organizavimo paslaugos;Ne per CPO;2014.06.26
9570;Aleksoto seniūnija;KAT26.920;paslaugos;2014.07.08;Aleksoto bendruomenės centras;153,5;153,5;Dviračių žygis skirtas S. Dariaus ir S. Girėno skrydžiui atminti;Dviračių žygis skirtas S. Dariaus ir S. Girėno skrydžiui paminėti;Ne per CPO;2014.06.26
9571;Aleksoto seniūnija;KAT27.799;paslaugos;2014.08.04;Asociacija Marvelės bendruomenės centras;868,86;868,86;Kultūrinio renginio - Žolinių šventės organizavimas;Kultūrinio renginio - Žolinių šventės ir Marvos dvaro jubiliejaus paminėjimo organizavimo paslaugos;Ne per CPO;2014.06.26
9589;Žaliakalnio seniūnija;443;prekės;UAB „BSM LT“;1445,22;1448,1;Dviračių stovai;Dviračių stovai;ne per CPO;2014.06.30
9590;Žaliakalnio seniūnija;352;prekės;2014.10.10;VšĮ „Meninė drožyba“;578,66;579,24;Informacinių lentų pirkimas;Informacinės lentos.;ne per CPO;2014.06.30
9591;Žaliakalnio seniūnija;KAT26.923;paslaugos;Bendruomenės centras „Žaliakalnio aušra“;2626,85;2635,54;Vaikų ir jaunimo sociokultūrinė edukacija „Vasara su knyga“;Vaikų aktyvios veiklos skatinimo paslaugos.;ne per CPO;2014.06.30
9599;Panemunės seniūnija;163;prekės;2014.07.10;UAB „Tavo technika“;1795,64;1795,64;Vejapjovės, naudojamos žolynams, parkų pievoms arba sporto aikštelėms pjauti;Vejapjovės, naudojamos žolynams, parkų pievoms arba sporto aikštelėms pjauti.;Ne per CPO;2014.07.01
9600;Panemunės seniūnija;373;prekės;2014.07.10;Albertas Martinaitis;1013,67;1013,67;Muzikos instrumentai. Basedlė;Muzikos instrumentai. Basedlė;Ne per CPO;2014.07.01
9606;Aplinkos apsaugos skyrius;KAT12.713;paslaugos;2014.08.11;1000;1000;Želdinių būklės ekspertizės paslaugų pirkimas;Želdinių būklės ekspertizės paslaugos;Ne per CPO;2014.07.02
9609;Bendrasis skyrius;442;prekės;2014.07.14;Individuali įmonė V. Verbavičiaus firma „Vermeda“;2316,76;2316,76;Durys su montavimo darbais Ašigalio g. 23;Durys su montavimo darbais Ašigalio g. 23;Ne per CPO;2014.07.03
9610;Bendrasis skyrius;397;prekės;2014.07.23;UAB „Santermita“;3475,44;3475,44;Pašildytuvo pirkimas Laisvės al. 96 pastato šildymo sistemai;Pašildytuvo pirkimas Laisvės al. 96 pastato šildymo sistemai;Ne per CPO;2014.07.03
9613;Bendrasis skyrius;Darbai;P. Plechavičiaus g. 9A;Darbų pirkimas;2014.07.23;UAB „Santermita“;2896,2;2896,2;Šiluminio mazgo ir šildymo sistemos Plechavičiaus g. 9A remonto darbai;Šiluminio mazgo ir šildymo sistemos Plechavičiaus g. 9A remonto darbai;Ne per CPO;2014.07.04
9615;Bendrasis skyrius;Darbai;L. Sapiegos g. 8A;Darbų pirkimas;2014.07.23;UAB „Santermita“;2889,52;2889,52;Šiluminio mazgo ir šiluminės trasos K. Sapiegos g. 8A remonto darbai;Šiluminio mazgo ir šiluminės trasos K. Sapiegos g. 8A remonto darbai;Ne per CPO;2014.07.04
9616;Bendrasis skyrius;Darbai;Laisvės al. 94B;Darbų pirkimas;2014.09.10;Individuali įmonė V. Verbavičiaus firma „Vermeda“;1448,02;1448,02;Apskaitos sk. kabineto Laisvės al. 94B remonto darba;Apskaitos sk. kabineto Laisvės al. 94B remonto darbai;Ne per CPO;2014.07.04
9622;Vilijampolės seniūnija;443;prekės;2014.08.25;UAB „Bonarta“;1592,91;1592,91;Piramidinė gėlinė;Piramidinė gėlinė;Ne per CPO;2014.07.08
9623;Vilijampolės seniūnija;443;prekės;2014.09.04;Bipa;1157,85;1157,85;Dviračių stovai;Dviračių stovai;Ne per CPO;2014.07.08
9625;Vilijampolės seniūnija;375;prekės;2014.07.21;UAB „Ksil pasaulis“;2719,53;2719,53;Vaikiškas žaidimų kompleksas;Vaikiškas žaidimų kompleksas;Ne per CPO;2014.07.08
9629;Petrašiūnų seniūnija;KAT17.552;paslaugos;Labdaros fondas „Petrašiūnų bendruomenės centras“;1373,55;1373,55;Stovyklos organizavimas vaikams;Stovyklaviečių paslaugos.;ne per CPO;2014.07.08
9648;Žaliakalnio seniūnija;KAT26.920;paslaugos;2014.08.01;Bendruomenės centras „Žaliakalnio aušra“;2024,44;2027,34;Renginių ciklas „Tu ant žalio kalno gyveni“;Renginių ciklas „Tu ant žalio kalno gyveni“;ne per CPO;2014.07.10
9671;Centro seniūnija;KAT27.799;paslaugos;2014.07.18;VšĮ „Karmelitų projektai“;431,53;431,53;Kultūrinis renginys ''Žolinių atlaidai''.;Kultūrinis renginys ''Žolinių atlaidai''.;Ne per CPO;2014.07.11
9672;Bendrasis skyrius;322;prekės;2014.07.22;UAB Bitė Lietuva;3468,69;3468,69;Išmanieji mobilieji telefonai su lietimui jautriu ekranu ir belaidė laisvų rankų įranga;Išmanieji mobilieji telefonai su lietimui jautriu ekranu ir belaidė laisvų rankų įranga;Ne per CPO;2014.07.11
9673;Aplinkos apsaugos skyrius;351;prekės;2014.07.25;4492,13;4492,13;Liemenių su atšvaitais pirkimas;Liemenės su atšvaitais.;Ne per CPO;2014.07.11
9730;Kultūros paveldo skyrius;KAT27.799;paslaugos;2014.07.28;Kauno kultūros centras „Tautos namai“;723,76;723,76;Europos paveldo dienų 2014 m. renginio Kaune organizavimo paslaugų pirkimas;Europos paveldo dienų 2014 m. renginio Kauno mieste organizavimas;Ne per CPO;2014.07.16
9731;Transporto ir eismo organizavimo skyrius;Darbai;Birželio 23-ioji g.;Darbų pirkimas;Bipa;926,56;926,56;Birželio 23-iosios g.;Saugos įrenginių montavimas.;Ne per CPO;2014.07.16
9732;Bendrasis skyrius;Darbai;Gedimino g. 13;Darbų pirkimas;2014.07.23;UAB „Santermita“;6997,43;6997,43;Oro kondicionavimo sistemos įrengimas Gedimino g. 13;Oro kondicionavimo sistemos įrengimas Gedimino g. 13;Ne per CPO;2014.07.16
9733;Bendrasis skyrius;395;prekės;2014.07.23;MB ,,Įdoma“;579,24;579,24;Plastikiniai kilimėliai po kėdėm;Plastikiniai kilimėliai po kėdėm;Ne per CPO;2014.07.16
